"","name","degree","closeness","betweenness","radius","color","axis","symbol","malefemale","agecat","size","normconstant"
"38","C03",0.0476190476190476,0.874439461883408,0.000399303975313227,0.0571428571428571,"thistle4",1,19,"Female","Geriatric",0.0571428571428571,108
"52","C31",0.0476190476190476,0.866666666666667,0.000122737401601618,0.314285714285714,"thistle4",1,19,"Male","Prime Adult",0.0571428571428571,108
"74","C12",0.0476190476190476,0.822784810126582,0.000150644374782306,0.571428571428571,"thistle4",1,19,"Female","Prime Adult",0.0571428571428571,108
"2","S06",0.0952380952380952,0.844155844155844,0,0.885714285714286,"thistle4",1,19,"Male","Prime Adult",0.114285714285714,108
"21","S70",0.0952380952380952,0.882352941176471,0.000493090228850997,1.2,"thistle4",1,19,"Male","Sub adult",0.114285714285714,108
"27","S99",0.0952380952380952,0.859030837004405,4.72924810603532e-05,1.51428571428571,"thistle4",1,19,"Male","Cub",0.114285714285714,108
"44","N07",0.0952380952380952,0.874439461883408,0.000180376768008857,1.82857142857143,"thistle4",1,19,"Male","Sub adult",0.114285714285714,108
"68","N49",0.0952380952380952,0.836909871244635,3.96628182582766e-05,2.14285714285714,"thistle4",1,19,"Female","Prime Adult",0.114285714285714,108
"23","S66",0.142857142857143,0.68904593639576,0,2.51428571428571,"thistle4",1,19,"Male","Sub adult",0.171428571428571,108
"30","S98",0.142857142857143,0.859030837004405,9.92414423522639e-05,2.88571428571429,"thistle4",1,19,"Female","Cub",0.171428571428571,108
"32","S103",0.142857142857143,0.898617511520737,0.000334344986291957,3.25714285714286,"thistle4",1,19,"Female","Prime Adult",0.171428571428571,108
"67","N50",0.142857142857143,0.789473684210526,8.21018062397373e-06,3.62857142857143,"thistle4",1,19,"Female","Prime Adult",0.171428571428571,108
"70","N28",0.142857142857143,0.89041095890411,0.00110607452577457,4,"thistle4",1,19,"Female","Prime Adult",0.171428571428571,108
"24","S68-R",0.19047619047619,0.836909871244635,2.5512696349534e-05,4.42857142857143,"thistle4",1,19,"Female","Prime Adult",0.228571428571429,108
"25","S65",0.19047619047619,0.882352941176471,0.000513497000185227,4.85714285714286,"thistle4",1,19,"Male","Prime Adult",0.228571428571429,108
"69","N54",0.19047619047619,0.764705882352941,2.99649640420432e-05,5.28571428571429,"thistle4",1,19,"Female","Prime Adult",0.228571428571429,108
"75","C09",0.19047619047619,0.836909871244635,0,5.71428571428572,"thistle4",1,19,"Female","Prime Adult",0.228571428571429,108
"1","C47",0.238095238095238,0.809128630705394,0,6.2,"thistle4",1,19,"Male","Prime Adult",0.285714285714286,108
"14","C16",0.238095238095238,0.874439461883408,0.000622270382356713,6.68571428571429,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"35","S26-R",0.238095238095238,0.89041095890411,0.000236722332087687,7.17142857142857,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"37","C07",0.238095238095238,0.615141955835962,0,7.65714285714286,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"72","N11",0.238095238095238,0.874439461883408,0.000298468439401622,8.14285714285714,"thistle4",1,19,"Male","Prime Adult",0.285714285714286,108
"76","C10",0.238095238095238,0.836909871244635,0,8.62857142857143,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"77","C13",0.238095238095238,0.866666666666667,0.000399086281130015,9.11428571428572,"thistle4",1,19,"Male","Prime Adult",0.285714285714286,108
"84","C23",0.238095238095238,0.866666666666667,0.000399086281130015,9.6,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
