"","name","degree","closeness","betweenness","radius","color","axis","symbol","malefemale","agecat","size","normconstant"
"27","S99",0,0,3.37529647874475e-05,0,"thistle4",1,19,"Male","Cub",0,108
"21","S70",0.0476190476190476,0,0.000347911546255685,0.257142857142857,"thistle4",1,19,"Male","Sub adult",0.0571428571428571,108
"23","S66",0.0476190476190476,0,0,0.514285714285714,"thistle4",1,19,"Male","Sub adult",0.0571428571428571,108
"30","S98",0.0476190476190476,0,5.44617893755825e-05,0.771428571428571,"thistle4",1,19,"Female","Cub",0.0571428571428571,108
"32","S103",0.0476190476190476,0,0.000249902515056999,1.02857142857143,"thistle4",1,19,"Female","Prime Adult",0.0571428571428571,108
"38","C03",0.0476190476190476,0,0.000280400474365992,1.28571428571429,"thistle4",1,19,"Female","Geriatric",0.0571428571428571,108
"52","C31",0.0476190476190476,0,8.29227036806359e-05,1.54285714285714,"thistle4",1,19,"Male","Prime Adult",0.0571428571428571,108
"25","S65",0.0952380952380952,0,0.000363353362534216,1.85714285714286,"thistle4",1,19,"Male","Prime Adult",0.114285714285714,108
"69","N54",0.0952380952380952,0,1.69033130493577e-05,2.17142857142857,"thistle4",1,19,"Female","Prime Adult",0.114285714285714,108
"70","N28",0.0952380952380952,0,0.00045488644708366,2.48571428571429,"thistle4",1,19,"Female","Prime Adult",0.114285714285714,108
"1","C47",0.142857142857143,0,0,2.85714285714286,"thistle4",1,19,"Male","Prime Adult",0.171428571428571,108
"2","S06",0.142857142857143,0,0,3.22857142857143,"thistle4",1,19,"Male","Prime Adult",0.171428571428571,108
"14","C16",0.142857142857143,0,0.000484085396610752,3.6,"thistle4",1,19,"Female","Prime Adult",0.171428571428571,108
"35","S26-R",0.142857142857143,0,0.000175567409662056,3.97142857142857,"thistle4",1,19,"Female","Prime Adult",0.171428571428571,108
"37","C07",0.142857142857143,0,0,4.34285714285714,"thistle4",1,19,"Female","Prime Adult",0.171428571428571,108
"68","N49",0.142857142857143,0,0,4.71428571428572,"thistle4",1,19,"Female","Prime Adult",0.171428571428571,108
"72","N11",0.142857142857143,0,0.000200601959290926,5.08571428571429,"thistle4",1,19,"Male","Prime Adult",0.171428571428571,108
"76","C10",0.142857142857143,0,0,5.45714285714286,"thistle4",1,19,"Female","Prime Adult",0.171428571428571,108
"77","C13",0.142857142857143,0,0.000359423462871739,5.82857142857143,"thistle4",1,19,"Male","Prime Adult",0.171428571428571,108
"84","C23",0.142857142857143,0,0.000359423462871739,6.2,"thistle4",1,19,"Female","Prime Adult",0.171428571428571,108
"86","C24",0.142857142857143,0,0.000153826856413063,6.57142857142857,"thistle4",1,19,"Male","Prime Adult",0.171428571428571,108
"3","S08",0.19047619047619,0,7.54973371606232e-05,7,"thistle4",1,19,"Male","Prime Adult",0.228571428571429,108
"19","S110",0.19047619047619,0,0.000232356343088038,7.42857142857143,"thistle4",1,19,"Male","Cub",0.228571428571429,108
"24","S68-R",0.19047619047619,0,1.19731800766284e-05,7.85714285714286,"thistle4",1,19,"Female","Prime Adult",0.228571428571429,108
"28","S101",0.19047619047619,0,0.000225712845652876,8.28571428571429,"thistle4",1,19,"Male","Cub",0.228571428571429,108
"31","S97",0.19047619047619,0,0,8.71428571428572,"thistle4",1,19,"Male","Cub",0.228571428571429,108
"42","S106",0.19047619047619,0,0.00436096905924492,9.14285714285714,"thistle4",1,19,"Male","Prime Adult",0.228571428571429,108
"44","N07",0.19047619047619,0,0.000127022553814969,9.57142857142857,"thistle4",1,19,"Male","Sub adult",0.228571428571429,108
"49","C27",0.19047619047619,0,0,10,"thistle4",1,19,"Female","Prime Adult",0.228571428571429,108
"51","C02",0.19047619047619,0,0,10.4285714285714,"thistle4",1,19,"Female","Prime Adult",0.228571428571429,108
"55","C37",0.19047619047619,0,0.000185653633929496,10.8571428571429,"thistle4",1,19,"Female","Geriatric",0.228571428571429,108
"57","S96",0.19047619047619,0,0.000115867098625719,11.2857142857143,"thistle4",1,19,"Female","Juvenile",0.228571428571429,108
"59","S93",0.19047619047619,0,0.00017738445748735,11.7142857142857,"thistle4",1,19,"Male","Juvenile",0.228571428571429,108
"65","S51",0.19047619047619,0,9.09391534391534e-05,12.1428571428571,"thistle4",1,19,"Female","Geriatric",0.228571428571429,108
"74","C12",0.19047619047619,0,0.00136973180076628,12.5714285714286,"thistle4",1,19,"Female","Prime Adult",0.228571428571429,108
"4","S07",0.238095238095238,0,0.000197019606570642,13.0571428571428,"thistle4",1,19,"Male","Prime Adult",0.285714285714286,108
"15","C21",0.238095238095238,0,0.000373525967603929,13.5428571428571,"thistle4",1,19,"Female","Geriatric",0.285714285714286,108
"47","N06",0.238095238095238,0,0.000774493705528188,14.0285714285714,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"48","C38",0.238095238095238,0,0.000127941981390257,14.5142857142857,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"50","C32",0.238095238095238,0,2.95296989691728e-05,15,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"53","C30",0.238095238095238,0,0,15.4857142857143,"thistle4",1,19,"Male","Prime Adult",0.285714285714286,108
"54","C33",0.238095238095238,0,0,15.9714285714286,"thistle4",1,19,"Female","Geriatric",0.285714285714286,108
"58","S91",0.238095238095238,0,3.3765292385982e-05,16.4571428571428,"thistle4",1,19,"Female","Juvenile",0.285714285714286,108
"64","S95",0.238095238095238,0,0,16.9428571428571,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"66","S49",0.238095238095238,0,0.000271620142309797,17.4285714285714,"thistle4",1,19,"Male","Geriatric",0.285714285714286,108
"67","N50",0.238095238095238,0,8.00492610837438e-05,17.9142857142857,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"78","C43",0.238095238095238,0,0.000679632834805249,18.4,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"79","C42",0.238095238095238,0,0,18.8857142857143,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"80","C41",0.238095238095238,0,0,19.3714285714285,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"81","C40",0.238095238095238,0,0.000577002536941685,19.8571428571428,"thistle4",1,19,"Male","Prime Adult",0.285714285714286,108
"85","C26",0.238095238095238,0,0,20.3428571428571,"thistle4",1,19,"Female","Prime Adult",0.285714285714286,108
"87","C25",0.238095238095238,0,0.00162332994229546,20.8285714285714,"thistle4",1,19,"Male","Geriatric",0.285714285714286,108
"16","N31",0.285714285714286,0,0.000383152109375691,21.3714285714285,"thistle4",1,19,"Female","Prime Adult",0.342857142857143,108
"34","S100",0.285714285714286,0,2.75383141762452e-05,21.9142857142857,"thistle4",1,19,"Male","Prime Adult",0.342857142857143,108
"39","C06",0.285714285714286,0,0.000114018704466424,22.4571428571428,"thistle4",1,19,"Female","Geriatric",0.342857142857143,108
