,name,degree,closeness,betweenness,radius,color,axis,symbol,malefemale,agecat,size,normconstant
32,S99,0.045454545,0.870503597,3.52E-05,0.054545455,thistle4,1,19,Male,Cub,0.054545455,132
86,N19,0.045454545,0.817567568,4.68E-05,0.309090909,thistle4,1,19,Female,Prime Adult,0.054545455,132
23,S70,0.090909091,0.817567568,3.19E-05,0.618181818,thistle4,1,19,Male,Sub adult,0.109090909,132
27,S66,0.090909091,0.812080537,0,0.927272727,thistle4,1,19,Male,Sub adult,0.109090909,132
35,S98,0.090909091,0.864285714,4.41E-05,1.236363636,thistle4,1,19,Female,Cub,0.109090909,132
37,S53,0.090909091,0.751552795,0,1.545454545,thistle4,1,19,Male,Sub adult,0.109090909,132
38,S103,0.090909091,0.902985075,0.000177492,1.854545455,thistle4,1,19,Female,Prime Adult,0.109090909,132
44,C03,0.090909091,0.883211679,0.000194158,2.163636364,thistle4,1,19,Female,Geriatric,0.109090909,132
65,C31,0.090909091,0.883211679,6.43E-05,2.472727273,thistle4,1,19,Male,Prime Adult,0.109090909,132
85,N29,0.090909091,0.545045045,0,2.781818182,thistle4,1,19,Female,Sub adult,0.109090909,132
93,N18,0.090909091,0.864285714,2.89E-05,3.090909091,thistle4,1,19,Female,Prime Adult,0.109090909,132
96,C11,0.090909091,0.858156028,9.72E-05,3.4,thistle4,1,19,Female,Prime Adult,0.109090909,132
22,S57,0.136363636,0.751552795,1.35E-05,3.763636364,thistle4,1,19,Female,Sub adult,0.163636364,132
25,S55,0.136363636,0.896296296,0.000233606,4.127272727,thistle4,1,19,Female,Sub adult,0.163636364,132
30,S65,0.136363636,0.889705882,0.000249273,4.490909091,thistle4,1,19,Male,Prime Adult,0.163636364,132
59,C34,0.136363636,0.823129252,6.84E-05,4.854545455,thistle4,1,19,Female,Sub adult,0.163636364,132
82,N54,0.136363636,0.828767123,7.98E-05,5.218181818,thistle4,1,19,Female,Prime Adult,0.163636364,132
88,N28,0.136363636,0.780645161,0.000337408,5.581818182,thistle4,1,19,Female,Prime Adult,0.163636364,132
1,C47,0.181818182,0.852112676,6.11E-05,6,thistle4,1,19,Male,Prime Adult,0.218181818,132
2,S06,0.181818182,0.864285714,1.71E-05,6.418181818,thistle4,1,19,Male,Prime Adult,0.218181818,132
15,C16,0.181818182,0.883211679,0.000473033,6.836363636,thistle4,1,19,Female,Prime Adult,0.218181818,132
24,S58,0.181818182,0.796052632,2.11E-05,7.254545455,thistle4,1,19,Female,Sub adult,0.218181818,132
41,S26-R,0.181818182,0.889705882,0.000137111,7.672727273,thistle4,1,19,Female,Prime Adult,0.218181818,132
43,C07,0.181818182,0.770700637,0,8.090909091,thistle4,1,19,Female,Prime Adult,0.218181818,132
57,N14,0.181818182,0.864285714,0.000112132,8.509090909,thistle4,1,19,Female,Sub adult,0.218181818,132
60,C35,0.181818182,0.870503597,3.06E-05,8.927272727,thistle4,1,19,Female,Prime Adult,0.218181818,132
64,C36,0.181818182,0.761006289,0,9.345454545,thistle4,1,19,Female,Prime Adult,0.218181818,132
81,N49,0.181818182,0.817567568,0,9.763636364,thistle4,1,19,Female,Prime Adult,0.218181818,132
87,N20,0.181818182,0.806666667,1.51E-05,10.18181818,thistle4,1,19,Female,Prime Adult,0.218181818,132
94,N11,0.181818182,0.889705882,0.000152975,10.6,thistle4,1,19,Male,Prime Adult,0.218181818,132
99,C10,0.181818182,0.852112676,4.37E-05,11.01818182,thistle4,1,19,Female,Prime Adult,0.218181818,132
100,C13,0.181818182,0.876811594,0.000282795,11.43636364,thistle4,1,19,Male,Prime Adult,0.218181818,132
107,C23,0.181818182,0.876811594,0.000282795,11.85454545,thistle4,1,19,Female,Prime Adult,0.218181818,132
109,C24,0.181818182,0.876811594,0.000125345,12.27272727,thistle4,1,19,Male,Prime Adult,0.218181818,132
3,S08,0.227272727,0.876811594,6.10E-05,12.74545455,thistle4,1,19,Male,Prime Adult,0.272727273,132
9,S42,0.227272727,0.909774436,0.000586809,13.21818182,thistle4,1,19,Male,Sub adult,0.272727273,132
20,S110,0.227272727,0.902985075,0.000165165,13.69090909,thistle4,1,19,Male,Cub,0.272727273,132
28,S68-R,0.227272727,0.785714286,0.000175866,14.16363636,thistle4,1,19,Female,Prime Adult,0.272727273,132
29,S64,0.227272727,0.801324503,1.26E-05,14.63636364,thistle4,1,19,Male,Prime Adult,0.272727273,132
33,S101,0.227272727,0.876811594,0.000166848,15.10909091,thistle4,1,19,Male,Cub,0.272727273,132
36,S97,0.227272727,0.770700637,8.33E-06,15.58181818,thistle4,1,19,Male,Cub,0.272727273,132
49,S106,0.227272727,0.909774436,0.002909289,16.05454545,thistle4,1,19,Male,Prime Adult,0.272727273,132
51,N07,0.227272727,0.864285714,9.59E-05,16.52727273,thistle4,1,19,Male,Sub adult,0.272727273,132
56,N13,0.227272727,0.801324503,4.51E-05,17,thistle4,1,19,Female,Sub adult,0.272727273,132
58,C27,0.227272727,0.751552795,0,17.47272727,thistle4,1,19,Female,Prime Adult,0.272727273,132
62,C02,0.227272727,0.852112676,0.000177037,17.94545455,thistle4,1,19,Female,Prime Adult,0.272727273,132
68,C37,0.227272727,0.876811594,0.000145048,18.41818182,thistle4,1,19,Female,Geriatric,0.272727273,132
70,S96,0.227272727,0.870503597,9.25E-05,18.89090909,thistle4,1,19,Female,Juvenile,0.272727273,132
72,S93,0.227272727,0.889705882,0.000133285,19.36363636,thistle4,1,19,Male,Juvenile,0.272727273,132
78,S51,0.227272727,0.870503597,7.67E-05,19.83636364,thistle4,1,19,Female,Geriatric,0.272727273,132
